"","peak_id","peak_name","host_contries","alternative_names","height_m","height_ft","location","region","restrictions","climb_status","is_open","is_unlisted","is_trekking","trek_year","first_asc_yr","first_asc_season","first_asc_date","countries","first_summiters","summiters_notes","lat","long"
"418","TAPL","Taple Shikhar","Nepal only","Cross Peak",6447,21152,"Kangchenjunga/Simhalila","Kangchenjunga-Janak","Opened in 2002","Climbed",1,0,0,0,1998,"Autumn","Oct 08","Japan, Nepal","Misako Miyazawa, Gumba Sherpa, Kancha Sunwar Sherpa, Pemba Lama Sherpa","",NA,NA
"419","TASH","Tashi Kang","Nepal only","Tashi Khang",6386,20951,"Mukut/Mustang","Dhaulagiri-Mukut","Opened in 2002","Climbed",1,0,0,0,2002,"Summer","Aug 14","Japan, Nepal","Yasue Mogi, Gyalzen Sherpa","",28.8547343,119.4039832
"420","TAWA","Tawa","Nepal only","",6110,20046,"Damodar","Annapurna-Damodar-Peri","","Climbed",0,1,0,0,2010,"Autumn","Oct 21","Japan, Nepal","Mikio Iga, Kazuya Fujikura, Chhongba Sherpa, Lhakpa Sherpa","",53.4631552,-113.427559
"421","TAWO","Tawoche","Nepal only","Taboche",6495,21309,"Khumbu","Khumbu-Rolwaling-Makalu","","Climbed",1,0,0,0,1974,"Spring","Apr 15","France","Louis Dubost, Paul Gendre","",27.8973138,86.7793702
"422","TENG","Tengkoma","Nepal only","Tang Kongma",6215,20390,"Jongsang","Kangchenjunga-Janak","Opened in 1997","Climbed",1,0,0,0,1949,"Spring","Jun 17","Switzerland, Nepal","Alfred Sutter, Rene Dittert, Annelies Lohner, Jacob Pargaetzi-Almer, Edouard Wyss-Dunant, Pasang Sherpa","",NA,NA
"423","TENR","Tengi Ragi Tau","Nepal only","Agole, Angole",6938,22762,"Rolwaling","Khumbu-Rolwaling-Makalu","Opened in 2002","Climbed",1,0,0,0,2002,"Winter","Dec 04","Japan, Nepal","Koichi Ezaki, Ruchia Takahashi, Pasang Tamang, Tul Bahadur Tamang","",27.8578094,86.5532262
"424","THAM","Thamserku","Nepal only","Tramserku",6618,21713,"Khumbu","Khumbu-Rolwaling-Makalu","","Climbed",1,0,0,0,1964,"Autumn","Nov 04","New Zealand","Lynn Crawford, Peter Farrell, John McKinnon, Richard Stewart","",27.7898577,86.785298
"425","THAR","Tharpu Chuli","Nepal only","Tent Peak",5695,18684,"Annapurna","Annapurna-Damodar-Peri","","Climbed",0,0,1,1978,1964,"Autumn","Oct 23","Japan","Masaaki Kimura, Kiyoo Shimada","",NA,NA
"426","THOC","Thoche Go","Nepal & China","",6602,21660,"Peri","Annapurna-Damodar-Peri","Opened in 2014","Unclimbed",1,0,0,0,0,"All","","","Unclimbed","",28.6512935,84.4674494
"427","THOR","Thorong Peak","Nepal only","Thorung Peak",6144,20157,"Annapurna","Annapurna-Damodar-Peri","","Climbed",1,0,0,0,2007,"Autumn","Nov 08","Japan, Nepal","Satoru Endo, Mikio Iga, Terue Katakura, Mitsukuni Oka, Rikio Takahashi, Hiroshi Yumoto, Gadjet Bis Gurung, Ang Dawa Tamang, Hit Bahadur Tamang, Pasang Tamang","1st official ascent (likely many others previously)",28.7819689,83.9268777
"428","THRK","Tharke Kang","Nepal & China","Tharke Khang",6710,22014,"Khumbu","Khumbu-Rolwaling-Makalu","Opened in 2014","Climbed",1,0,0,0,2017,"Autumn","Nov 03","USA, Nepal","Garrett Madison, Kristin Bennett, Lisa Thompson, Ang Phurba Sherpa, Lhakpa Dendi Sherpa, Pasang Dawa Sherpa, Tashi Sherpa","",28.045283,86.7490845
"429","THUL","Thulagi","Nepal only","Mansiri Himal",7059,23159,"Manaslu/Mansiri","Manaslu-Ganesh","Opened in 2003","Climbed",1,0,0,0,2015,"Autumn","Sep 26","Russia","Alexander Gukov, Ivan Dozhdev, Ruslan Kirichenko, Valeri Shamalo","",28.51903395,84.5460870398599
"430","TILI","Tilicho","Nepal only","Tilitso",7134,23406,"Annapurna","Annapurna-Damodar-Peri","","Climbed",1,0,0,0,1978,"Autumn","Oct 10","France","Emmanuel Schmutz","Reinhold Messner claimns first ascent in autumn of 1971",60.2625935,24.8537182
"431","TILJ","Tilje","Nepal only","",6530,21424,"Peri","Annapurna-Damodar-Peri","Opened in 2002","Unclimbed",1,0,0,0,0,"All","","","Unclimbed","",59.47805,11.2763056
"432","TILK","Til Kang","Nepal & China","",6369,20896,"Nalakankar/Chandi/Changla","Far West-Kanjiroba","Opened in 2003","Climbed",1,0,0,0,2018,"Autumn","Oct 15","UK","Ed Douglas, Bruce Normand","",47.5155368,5.1753631
"433","TKPO","Tengkangpoche","Nepal only","Thyangmoche",6482,21266,"Rolwaling","Khumbu-Rolwaling-Makalu","Opened in 2001","Climbed",1,0,0,0,1984,"Autumn","Oct","UK, USA","Trevor Pilling, Andy Zimet","",27.8041816,86.5953665
"434","TKRE","Takargo East","Nepal only","Thakar Go East, Dragker-go East",6152,20184,"Rolwaling","Khumbu-Rolwaling-Makalu","Opened in 2014","Climbed",1,0,0,0,2015,"Autumn","Oct 06","Nepal","Dawa Gyalje Sherpa, Nima Tenji Sherpa, Tashi Sherpa","",NA,NA
"435","TKRG","Takargo","Nepal only","Dragker-go",6771,22215,"Rolwaling","Khumbu-Rolwaling-Makalu","Opened in 2003","Climbed",1,0,0,0,2010,"Spring","Mar 12","USA","David Gottlieb, Joseph Puryear","",NA,NA
"436","TLNG","Talung","Nepal & India","",7349,24111,"Kangchenjunga/Simhalila","Kangchenjunga-Janak","Opened in 2002","Climbed",1,0,0,0,1964,"Spring","May 19","W Germany, Nepal","Franz Lindner, Tenzing Nanda Sherpa","",27.6548025,88.1301939
"437","TOBS","Tobsar","Nepal only","Tabsar",6065,19898,"Ganesh/Shringi","Manaslu-Ganesh","Opened in 2002","Climbed",1,0,0,0,2017,"Autumn","Oct 01","Nepal","Narendra Shahi, Iman Gurung, Samir Gurung","",NA,NA
"438","TONG","Tongu","Nepal only","",6187,20299,"Mukut/Mustang","Dhaulagiri-Mukut","","Climbed",0,1,0,0,1959,"Autumn","Oct 21","USA","John Humphreys, Fred Dunn, John Noxon","",8.783333,12.416667
"439","TRIA","Triangle Peak","Nepal & China","",6484,21273,"Jugal","Langtang-Jugal","","Climbed",0,1,0,0,2013,"Autumn","Oct 09","France","Sebastien Moatti, Max Bonniot","Climbed from Tibetan side",61.1433985,-149.3557569
"440","TRIP","Tripura Hiunchuli","Nepal only","Tripura Thumba, Hanging Glacier Peak",6553,21499,"Kanjiroba","Far West-Kanjiroba","","Climbed",1,0,0,0,1986,"Autumn","Oct 17","Japan, Nepal","Noriyuki Hata, Katashi Tokimoto, Ang Phuri Sherpa","1st ascent of main (north) peak",NA,NA
"441","TSAR","Tsartse","Nepal only","",6343,20810,"Mukut/Mustang","Dhaulagiri-Mukut","Opened in 2002","Climbed",1,0,0,0,2018,"Autumn","Sep 25","Japan, Nepal","Kouki Ikeda, Daisuke Simozuru, Yujiro Suga, Asahi Takeshita, Dendi Sherpa, Ngima Sherpa, Pemba Sherpa, Tenjin Sherpa, Bir Kaji Tamang","",NA,NA
